tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,fare_amount,tip_amount,tolls_amount,total_amount,payment_type
2025-01-15 18:00:15,2025-01-15 18:12:59,1,1.75,11.23,0.74,0.0,14.97,1
2025-01-15 23:46:15,2025-01-15 23:58:59,1,1.81,11.36,0.0,0.0,13.86,1
2025-01-15 14:04:19,2025-01-15 14:17:27,1,1.89,11.18,0.78,0.0,12.46,1
2025-01-15 08:40:28,2025-01-15 08:55:11,1,2.14,11.95,1.33,0.0,14.28,1
2025-01-15 07:04:39,2025-01-15 07:19:38,1,2.22,15.4,0.79,0.0,16.69,1
2025-01-15 18:19:17,2025-01-15 18:55:19,2,2.78,20.34,1.64,0.0,22.98,1
2025-01-15 05:23:03,2025-01-15 05:27:37,4,1.23,7.95,0.19,0.0,10.64,1
2025-01-15 10:29:35,2025-01-15 10:39:43,5,2.07,13.31,0.0,0.0,15.81,2
2025-01-15 15:50:51,2025-01-15 16:06:12,2,3.17,15.83,1.94,0.0,20.27,1
2025-01-15 13:22:03,2025-01-15 14:03:41,1,5.64,31.23,0.0,0.0,35.73,2
2025-01-15 13:48:03,2025-01-15 14:07:10,1,2.91,16.9,0.0,0.0,17.9,2
2025-01-15 17:48:34,2025-01-15 18:38:52,1,12.99,52.58,0.0,0.0,57.08,2
2025-01-15 16:51:58,2025-01-15 17:15:36,6,4.44,20.79,0.0,0.0,23.79,2
2025-01-15 16:14:47,2025-01-15 16:48:23,2,6.85,29.44,0.0,0.0,32.44,2
2025-01-15 18:46:34,2025-01-15 18:54:41,1,2.61,11.29,0.0,0.0,11.29,2
2025-01-15 15:38:00,2025-01-15 16:14:52,1,7.51,33.63,6.32,0.0,42.95,1
2025-01-15 09:46:50,2025-01-15 11:41:06,1,24.16,102.59,10.92,0.0,115.01,1
2025-01-15 13:36:57,2025-01-15 13:50:27,1,3.44,17.37,0.0,0.0,17.87,2
2025-01-15 14:37:53,2025-01-15 14:59:47,4,3.18,17.87,2.56,0.0,21.43,1
2025-01-15 20:44:16,2025-01-15 20:55:32,1,2.87,12.83,0.6,0.0,15.93,1
2025-01-15 06:52:15,2025-01-15 07:00:26,3,1.36,8.45,0.63,0.0,10.58,1
2025-01-15 19:18:23,2025-01-15 19:26:43,1,1.98,9.56,1.1,0.0,11.66,1
2025-01-15 20:58:15,2025-01-15 21:13:44,3,3.25,13.47,1.26,0.0,15.23,1
2025-01-15 11:50:00,2025-01-15 11:58:06,1,1.29,9.79,0.31,0.0,12.6,1
2025-01-15 17:09:53,2025-01-15 17:31:05,1,4.31,20.47,3.37,0.0,24.84,1
2025-01-15 01:39:52,2025-01-15 01:52:47,2,1.79,12.94,0.0,0.0,13.44,2
2025-01-15 23:37:15,2025-01-15 23:59:59,3,3.88,20.97,2.43,0.0,26.4,1
2025-01-15 15:52:32,2025-01-15 16:09:56,1,4.88,20.46,0.33,0.0,23.29,1
2025-01-15 16:46:48,2025-01-15 17:19:00,1,4.13,23.81,2.18,0.0,28.49,1
2025-01-15 01:57:20,2025-01-15 02:08:11,3,2.51,14.08,0.0,0.0,15.58,2
2025-01-15 08:45:49,2025-01-15 09:03:17,1,4.4,20.58,2.18,0.0,24.26,1
2025-01-15 21:04:13,2025-01-15 21:25:47,1,2.64,17.16,2.72,0.0,20.88,1
2025-01-15 21:28:49,2025-01-15 21:54:11,1,5.28,24.77,3.47,0.0,28.74,1
2025-01-15 17:27:25,2025-01-15 18:02:23,2,7.52,33.74,0.0,0.0,36.24,2
2025-01-15 22:24:28,2025-01-15 22:26:23,1,1.5,4.91,0.0,0.0,5.91,2
2025-01-15 11:40:34,2025-01-15 11:49:51,3,2.01,12.36,2.02,0.0,14.38,1
2025-01-15 10:19:16,2025-01-15 12:06:19,1,21.23,91.53,0.0,0.0,92.03,2
2025-01-15 12:01:09,2025-01-15 12:16:12,1,3.06,17.38,0.0,0.0,19.88,5
2025-01-15 09:26:01,2025-01-15 09:30:51,1,0.96,8.69,0.0,0.0,9.19,2
2025-01-15 08:39:56,2025-01-15 08:54:44,1,1.76,12.38,1.98,0.0,17.36,1
,2025-01-15 18:32:21,3,1.96,9.64,0.21,0.0,10.35,1
2025-01-15 12:01:51,2025-01-15 12:14:32,1,3.87,17.3,0.0,0.0,18.8,2
2025-01-15 15:06:26,2025-01-15 15:21:51,1,4.2,17.55,0.95,0.0,20.0,1
2025-01-15 15:45:50,2025-01-15 15:59:41,1,3.64,17.14,0.97,6.94,25.05,1
2025-01-15 05:45:09,2025-01-15 06:02:59,1,3.78,19.19,0.0,0.0,19.69,2
2025-01-15 22:58:18,2025-01-15 23:05:49,2,1.29,7.73,0.53,0.0,8.76,1
2025-01-15 15:02:28,2025-01-15 15:15:01,5,2.7,16.6,0.0,0.0,18.1,2
2025-01-15 10:45:06,2025-01-15 10:53:46,1,2.14,12.73,0.93,0.0,14.66,1
2025-01-15 16:17:34,2025-01-15 18:33:33,1,31.48,126.13,9.44,12.5,149.57,1
2025-01-15 10:46:08,2025-01-15 10:59:00,1,3.5,16.56,0.94,0.0,18.0,1
2025-01-15 20:19:02,2025-01-15 20:28:42,1,1.51,9.19,0.0,0.0,11.69,1
2025-01-15 18:55:20,2025-01-15 19:22:36,1,4.31,21.71,0.0,0.0,24.71,2
2025-01-15 18:19:29,2025-01-15 18:08:16,1,5.2,39.67,4.76,0.0,46.93,1
2025-01-15 22:58:32,2025-01-15 23:59:59,2,10.32,48.02,0.0,0.0,49.02,3
2025-01-15 17:19:28,2025-01-15 17:28:28,1,0.58,9.16,0.73,0.0,10.89,1
2025-01-15 08:15:39,2025-01-15 08:15:51,2,0.11,3.35,0.47,0.0,6.32,1
2025-01-15 09:01:32,2025-01-15 09:09:16,1,2.1,12.14,0.0,0.0,14.64,1
2025-01-15 18:56:17,2025-01-15 19:29:16,1,5.15,26.45,0.0,0.0,28.95,2
2025-01-15 09:38:21,2025-01-15 09:57:12,1,2.75,17.49,0.63,0.0,21.12,1
2025-01-15 08:04:16,2025-01-15 08:20:47,3,2.46,15.17,1.98,0.0,17.65,1
2025-01-15 14:05:49,2025-01-15 14:20:28,1,3.4,15.58,0.0,0.0,17.08,3
2025-01-15 20:39:33,2025-01-15 20:43:40,1,0.03,3.49,0.0,0.0,3.99,2
2025-01-15 18:00:06,2025-01-15 18:17:27,1,2.58,15.79,2.03,0.0,20.82,1
2025-01-15 19:45:01,2025-01-15 20:23:00,1,3.51,24.44,2.63,0.0,30.07,1
2025-01-15 10:54:54,2025-01-15 11:11:30,1,3.33,20.02,0.0,6.94,28.46,1
2025-01-15 04:44:14,2025-01-15 04:50:51,1,0.73,7.08,0.0,0.0,8.58,2
2025-01-15 23:13:37,2025-01-15 23:26:10,1,1.31,13.05,0.0,0.0,13.55,2
2025-01-15 22:27:42,2025-01-15 22:44:07,1,2.38,16.28,0.0,0.0,16.78,2
2025-01-15 07:51:22,2025-01-15 08:41:44,3,4.14,30.92,0.0,0.0,30.92,2
2025-01-15 15:59:47,2025-01-15 16:05:47,1,1.32,7.97,0.61,0.0,8.58,1
2025-01-15 17:55:35,2025-01-15 18:19:18,4,3.57,20.14,2.35,0.0,22.99,1
2025-01-15 04:50:34,2025-01-15 04:55:10,1,1.25,8.16,0.63,0.0,11.79,1
2025-01-15 18:26:20,2025-01-15 18:46:38,1,2.94,16.99,0.58,0.0,18.57,1
2025-01-15 08:41:54,2025-01-15 08:53:19,1,1.48,11.79,0.52,6.94,22.25,1
2025-01-15 11:51:05,2025-01-15 12:03:53,2,2.6,14.55,0.85,0.0,17.9,1
2025-01-15 11:02:23,2025-01-15 11:07:26,2,1.39,7.61,0.0,0.0,8.61,5
2025-01-15 08:00:31,2025-01-15 08:41:27,1,4.13,27.63,3.7,0.0,33.83,1
2025-01-15 17:45:07,2025-01-15 18:00:25,2,2.64,14.46,2.14,0.0,17.1,1
2025-01-15 19:36:01,2025-01-15 20:06:01,1,5.05,24.8,3.57,0.0,29.37,1
2025-01-15 20:43:24,2025-01-15 20:50:33,1,1.64,9.33,0.0,0.0,9.33,2
2025-01-15 16:45:07,2025-01-15 16:58:34,3,1.67,11.34,0.0,0.0,12.34,2
2025-01-15 19:40:29,2025-01-15 19:44:45,1,0.87,4.22,0.0,0.0,7.22,5
2025-01-15 13:32:43,2025-01-15 13:39:00,1,1.8,11.91,0.72,0.0,15.63,1
,2025-01-15 22:42:12,1,1.44,10.67,1.9,0.0,13.07,1
2025-01-15 15:46:08,2025-01-15 16:09:40,1,3.89,19.85,2.4,0.0,23.25,1
2025-01-15 15:34:12,2025-01-15 16:12:56,1,12.7,47.06,4.54,0.0,54.6,1
2025-01-15 17:45:11,2025-01-15 18:13:29,1,2.34,17.7,0.0,0.0,19.2,2
2025-01-15 17:17:18,2025-01-15 17:18:48,1,0.93,3.7,0.0,0.0,6.2,2
2025-01-15 19:35:15,2025-01-15 19:56:28,6,5.22,22.76,1.61,0.0,27.37,1
2025-01-15 07:58:14,2025-01-15 08:21:32,1,1.63,14.93,1.5,0.0,18.93,1
2025-01-15 15:33:43,2025-01-15 16:02:25,2,3.49,21.76,0.0,0.0,22.76,1
2025-01-15 07:45:28,2025-01-15 08:07:13,2,3.84,22.8,1.75,0.0,27.05,1
2025-01-15 10:24:06,2025-01-15 10:31:01,1,1.44,6.94,0.0,0.0,8.44,2
2025-01-15 19:41:17,2025-01-15 20:11:10,1,3.39,21.42,1.45,0.0,23.87,1
2025-01-15 07:46:49,2025-01-15 08:07:14,1,4.79,21.6,0.74,0.0,25.34,1
2025-01-15 17:48:54,2025-01-15 18:54:50,1,9.54,46.28,2.58,0.0,50.36,1
2025-01-15 14:22:18,2025-01-15 15:20:16,2,14.41,57.76,0.0,6.94,69.2,2
2025-01-15 12:44:29,2025-01-15 12:54:05,2,1.47,10.6,0.0,0.0,11.6,2
2025-01-15 09:14:44,2025-01-15 09:22:55,1,0.38,5.31,0.46,0.0,8.27,1
2025-01-15 15:45:01,2025-01-15 15:59:52,1,1.89,13.37,1.32,12.5,31.69,1
2025-01-15 16:28:09,2025-01-15 16:40:22,2,1.0,6.71,0.0,0.0,7.71,2
2025-01-15 09:43:26,2025-01-15 09:50:33,1,0.54,5.19,0.0,0.0,5.69,2
2025-01-15 06:43:52,2025-01-15 06:57:25,1,2.87,15.3,0.91,0.0,17.21,1
2025-01-15 20:59:44,2025-01-15 21:07:40,3,2.17,9.25,0.4,0.0,10.15,1
2025-01-15 17:49:53,2025-01-15 18:15:15,2,5.73,28.58,0.0,0.0,29.58,2
2025-01-15 20:20:12,2025-01-15 20:26:28,1,1.21,8.2,0.71,6.94,18.35,1
2025-01-15 17:07:00,2025-01-15 17:26:25,1,2.33,13.69,0.99,0.0,16.18,1
2025-01-15 19:35:12,2025-01-15 19:39:10,1,1.02,8.11,0.0,0.0,8.11,2
2025-01-15 15:16:31,2025-01-15 15:30:52,6,2.2,12.7,1.26,0.0,15.46,1
2025-01-15 18:00:22,2025-01-15 18:00:34,1,1.19,7.25,0.0,0.0,7.75,3
2025-01-15 06:13:39,2025-01-15 06:28:45,3,3.83,16.42,0.0,0.0,16.42,2
2025-01-15 10:15:26,2025-01-15 10:27:46,4,1.49,11.19,0.39,0.0,13.08,1
2025-01-15 19:28:55,2025-01-15 19:51:48,3,2.05,15.48,1.94,6.94,27.36,1
2025-01-15 17:57:01,2025-01-15 18:03:28,1,2.08,10.7,0.86,0.0,14.06,1
2025-01-15 02:31:50,2025-01-15 02:33:28,2,0.79,4.91,0.0,0.0,7.91,1
2025-01-15 11:55:03,2025-01-15 12:04:33,2,1.89,10.29,0.45,0.0,12.24,1
2025-01-15 19:56:46,2025-01-15 20:10:29,2,1.32,10.28,0.4,0.0,12.18,1
2025-01-15 01:15:15,2025-01-15 01:27:28,1,4.72,19.42,0.0,8.25,30.67,2
2025-01-15 17:02:41,2025-01-15 17:26:01,1,4.8,23.02,0.0,8.25,32.77,2
2025-01-15 05:44:16,2025-01-15 05:54:31,1,1.56,9.63,0.53,0.0,11.16,1
2025-01-15 11:24:50,2025-01-15 11:33:52,4,1.55,9.54,0.0,0.0,10.54,2
2025-01-15 13:32:01,2025-01-15 13:40:16,1,1.98,11.89,0.0,0.0,12.39,5
2025-01-15 16:14:07,2025-01-15 16:23:45,1,1.55,11.49,1.27,0.0,15.76,1
2025-01-15 14:53:04,2025-01-15 16:44:52,1,34.77,126.68,0.0,0.0,126.68,2
2025-01-15 13:28:24,2025-01-15 13:32:28,1,0.9,4.79,0.0,0.0,7.29,2
2025-01-15 05:39:23,2025-01-15 05:53:42,1,2.31,13.65,0.0,8.25,24.4,2
2025-01-15 07:59:25,2025-01-15 08:27:43,1,3.8,22.67,1.38,0.0,25.55,1
2025-01-15 15:01:52,2025-01-15 15:02:04,1,1.14,6.71,0.35,0.0,9.56,1
2025-01-15 12:56:08,2025-01-15 13:04:57,1,1.94,9.33,1.43,0.0,11.26,1
2025-01-15 22:47:30,2025-01-15 23:15:02,4,3.97,22.8,1.37,0.0,25.67,1
2025-01-15 15:01:39,2025-01-15 16:32:21,1,13.56,67.39,0.0,6.94,76.83,2
2025-01-15 22:55:59,2025-01-15 23:05:01,3,1.57,9.62,0.9,0.0,11.52,1
2025-01-15 15:20:21,2025-01-15 15:27:25,1,1.35,6.79,0.0,0.0,8.29,6
2025-01-15 14:00:29,2025-01-15 14:11:19,1,3.59,16.44,0.33,0.0,19.27,1
2025-01-15 16:53:45,2025-01-15 17:03:58,1,1.9,9.92,0.0,0.0,11.42,1
2025-01-15 01:59:19,2025-01-15 02:11:19,5,3.38,16.66,1.38,0.0,19.04,1
2025-01-15 05:17:05,2025-01-15 05:29:18,1,1.86,10.66,0.28,0.0,11.44,1
2025-01-15 11:01:21,2025-01-15 11:36:06,1,7.44,33.39,0.0,0.0,35.89,2
2025-01-15 10:20:29,2025-01-15 10:33:01,1,2.19,12.77,0.0,0.0,15.27,1
2025-01-15 16:47:14,2025-01-15 17:05:56,1,1.42,14.29,0.05,0.0,15.34,1
2025-01-15 18:11:02,2025-01-15 18:44:02,2,4.64,24.39,0.0,0.0,26.89,5
2025-01-15 10:34:54,2025-01-15 10:47:37,1,2.63,11.87,0.0,12.5,24.87,2
2025-01-15 20:26:33,2025-01-15 20:31:51,1,1.27,8.0,0.54,6.94,17.98,1
2025-01-15 10:39:44,2025-01-15 10:50:14,1,1.34,7.57,0.0,0.0,7.57,2
2025-01-15 08:20:01,2025-01-15 08:29:51,1,1.16,10.97,0.0,0.0,11.97,2
2025-01-15 09:05:29,2025-01-15 09:29:43,2,4.11,20.88,0.0,0.0,21.88,5
2025-01-15 13:59:28,2025-01-15 14:16:42,1,3.21,18.34,0.94,0.0,19.28,1
2025-01-15 02:15:22,2025-01-15 02:24:18,1,1.08,9.7,0.0,0.0,12.7,4
2025-01-15 02:12:55,2025-01-15 02:13:07,1,0.46,4.59,0.48,0.0,7.57,1
2025-01-15 13:13:07,2025-01-15 13:23:46,2,1.63,10.28,1.81,0.0,14.59,1
,2025-01-15 09:33:30,1,2.68,14.36,2.85,0.0,18.71,1
2025-01-15 20:43:20,2025-01-15 21:27:27,1,5.85,32.88,2.93,0.0,38.81,1
2025-01-15 12:00:10,2025-01-15 12:18:09,1,4.21,19.65,0.0,0.0,20.15,2
2025-01-15 11:30:17,2025-01-15 11:44:34,2,2.35,14.23,0.9,0.0,18.13,1
2025-01-15 17:24:09,2025-01-15 17:26:05,3,1.12,4.56,0.0,0.0,7.06,1
2025-01-15 14:14:19,2025-01-15 14:42:57,1,7.19,31.06,0.0,0.0,32.06,2
2025-01-15 16:46:09,2025-01-15 16:57:40,2,1.83,10.77,0.0,0.0,13.27,2
2025-01-15 17:30:46,2025-01-15 18:00:01,1,6.34,30.51,0.0,0.0,32.01,2
2025-01-15 07:18:23,2025-01-15 07:32:42,1,0.89,11.17,0.0,0.0,14.17,0
2025-01-15 09:04:27,2025-01-15 09:35:44,1,5.93,26.14,2.27,0.0,29.41,1
2025-01-15 23:36:54,2025-01-15 23:59:59,1,6.42,32.2,0.0,0.0,32.7,2
2025-01-15 08:15:30,2025-01-15 08:32:25,2,1.65,13.98,1.55,0.0,17.03,1
2025-01-15 06:40:38,2025-01-15 06:50:16,4,4.13,15.36,2.17,8.25,27.28,1
2025-01-15 18:00:56,2025-01-15 18:08:35,2,1.12,7.67,0.39,0.0,10.56,1
2025-01-15 16:00:12,2025-01-15 16:22:44,1,4.51,21.63,1.32,0.0,25.95,1
2025-01-15 18:14:48,2025-01-15 19:10:30,2,5.15,35.63,0.0,0.0,36.63,2
2025-01-15 14:00:06,2025-01-15 14:03:30,1,1.74,8.98,0.0,0.0,11.48,1
2025-01-15 11:42:39,2025-01-15 11:50:33,2,2.6,11.53,0.0,0.0,14.03,2
2025-01-15 19:03:47,2025-01-15 19:23:19,1,1.65,15.31,0.0,0.0,15.81,2
2025-01-15 07:02:32,2025-01-15 07:17:17,4,1.29,12.62,1.49,12.5,27.11,1
2025-01-15 18:44:29,2025-01-15 19:05:48,1,5.07,23.53,0.75,0.0,25.78,1
2025-01-15 18:42:30,2025-01-15 18:56:13,1,1.94,12.34,0.0,0.0,15.34,1
2025-01-15 17:08:29,2025-01-15 17:28:14,1,3.55,19.2,0.73,0.0,20.93,1
2025-01-15 20:36:47,2025-01-15 20:54:52,1,2.76,14.28,1.68,0.0,17.46,1
2025-01-15 16:27:44,2025-01-15 16:37:47,1,3.39,15.49,0.0,0.0,17.99,2
2025-01-15 00:38:15,2025-01-15 00:41:46,1,0.74,4.48,0.0,0.0,5.98,3
2025-01-15 09:07:41,2025-01-15 09:14:43,3,1.54,8.33,0.0,0.0,8.33,2
2025-01-15 08:28:01,2025-01-15 08:37:13,1,1.11,9.26,0.0,0.0,9.76,2
2025-01-15 16:42:28,2025-01-15 17:03:53,6,3.66,20.21,2.43,0.0,25.64,1
2025-01-15 18:42:05,2025-01-15 18:35:22,2,3.17,15.62,0.0,0.0,18.12,1
2025-01-15 19:14:57,2025-01-15 19:22:07,1,1.56,9.75,0.0,0.0,10.75,2
2025-01-15 07:53:21,2025-01-15 07:54:26,2,0.08,4.05,0.23,0.0,6.78,1
2025-01-15 13:30:27,2025-01-15 13:38:51,1,1.44,7.84,0.73,6.94,18.51,1
2025-01-15 16:18:43,2025-01-15 16:31:31,1,1.97,10.26,0.0,0.0,12.76,1
2025-01-15 14:22:46,2025-01-15 16:59:56,1,43.58,165.88,9.89,0.0,180.27,1
2025-01-15 12:01:21,2025-01-15 12:19:44,1,2.72,13.97,1.22,0.0,19.69,1
2025-01-15 18:14:18,2025-01-15 18:26:55,3,1.3,9.35,0.0,0.0,10.35,2
2025-01-15 18:10:10,2025-01-15 18:23:42,3,2.57,14.89,1.43,0.0,19.32,1
2025-01-15 08:28:30,2025-01-15 08:44:01,1,1.75,11.72,0.0,6.94,19.16,2
2025-01-15 17:59:06,2025-01-15 18:08:52,2,2.39,12.44,1.26,0.0,16.7,1
2025-01-15 13:08:06,2025-01-15 13:13:25,1,1.82,10.44,0.55,0.0,13.49,1
2025-01-15 20:42:34,2025-01-15 21:08:26,2,6.71,28.19,0.0,0.0,29.69,2
2025-01-15 09:15:09,2025-01-15 09:22:02,1,1.61,8.87,0.43,0.0,9.8,1
2025-01-15 08:31:45,2025-01-15 08:47:26,3,3.51,14.52,0.0,0.0,16.02,0
2025-01-15 19:02:05,2025-01-15 19:08:55,3,0.55,5.98,0.0,0.0,5.98,2
2025-01-15 15:04:12,2025-01-15 15:12:15,4,1.54,8.93,0.0,0.0,10.43,2
2025-01-15 13:08:40,2025-01-15 13:32:40,1,5.02,24.22,0.0,0.0,25.22,2
2025-01-15 15:00:21,2025-01-15 15:25:13,1,5.49,24.48,0.0,6.94,31.92,2
2025-01-15 22:53:01,2025-01-15 23:11:30,1,4.95,19.21,0.0,0.0,21.71,2
2025-01-15 20:51:16,2025-01-15 21:28:18,2,6.57,33.06,0.67,0.0,34.73,1
2025-01-15 12:32:41,2025-01-15 12:42:16,1,1.66,9.2,1.78,0.0,11.48,1
2025-01-15 00:36:45,2025-01-15 01:02:22,1,3.73,22.53,0.0,0.0,23.53,2
2025-01-15 08:52:26,2025-01-15 09:09:36,3,3.12,18.73,2.84,12.5,36.57,1
2025-01-15 21:44:44,2025-01-15 21:56:48,3,1.66,10.91,1.3,0.0,13.21,1
2025-01-15 19:49:33,2025-01-15 19:57:37,5,2.18,10.6,1.11,8.25,20.96,1
2025-01-15 11:27:33,,1,2.69,16.3,0.0,8.25,25.05,2
2025-01-15 12:23:59,2025-01-15 12:30:50,2,1.14,9.29,0.0,0.0,10.79,2
2025-01-15 07:26:03,2025-01-15 07:41:35,1,4.64,19.19,1.88,0.0,21.57,1
2025-01-15 13:47:31,2025-01-15 14:43:37,1,3.69,31.87,0.0,0.0,36.37,2
2025-01-15 16:05:50,2025-01-15 16:25:49,1,3.26,16.21,0.0,0.0,16.71,3
2025-01-15 15:09:55,2025-01-15 15:12:52,1,2.65,10.19,1.35,0.0,14.04,1
2025-01-15 18:13:16,2025-01-15 18:26:31,1,2.8,13.58,1.14,0.0,15.22,1
2025-01-15 19:58:02,2025-01-15 20:15:29,1,2.23,13.74,0.0,0.0,16.24,2
2025-01-15 12:41:17,2025-01-15 13:41:06,1,9.37,45.58,3.58,0.0,52.16,1
2025-01-15 07:45:07,2025-01-15 08:17:49,3,5.88,28.61,1.23,0.0,32.34,1
2025-01-15 18:05:12,2025-01-15 18:13:45,1,1.53,10.45,0.75,0.0,12.7,1
2025-01-15 19:19:23,2025-01-15 19:29:56,1,2.5,14.61,0.0,0.0,17.11,2
2025-01-15 22:53:25,2025-01-15 23:25:58,3,7.96,33.15,0.0,0.0,33.15,2
2025-01-15 08:17:01,2025-01-15 08:21:50,2,0.81,7.01,0.65,8.25,18.41,1
2025-01-15 21:31:33,2025-01-15 21:54:49,5,7.8,29.05,0.0,12.5,43.05,1
2025-01-15 09:56:47,2025-01-15 10:25:16,1,5.11,25.65,0.0,0.0,26.65,5
2025-01-15 09:08:06,2025-01-15 09:30:38,1,3.56,18.77,3.38,0.0,23.65,1
2025-01-15 11:40:38,2025-01-15 11:53:35,1,4.37,16.2,2.77,0.0,20.47,1
2025-01-15 15:04:10,2025-01-15 15:16:18,2,3.12,13.76,1.35,0.0,16.11,1
2025-01-15 07:58:34,2025-01-15 08:07:30,2,1.01,7.14,0.41,0.0,8.55,1
2025-01-15 22:55:46,2025-01-15 23:03:04,1,1.26,11.0,0.41,0.0,11.41,1
2025-01-15 09:07:38,2025-01-15 09:36:20,1,3.9,20.51,0.9,0.0,21.91,1
2025-01-15 11:43:59,2025-01-15 11:52:44,2,1.2,8.7,0.0,0.0,9.7,2
2025-01-15 16:36:30,2025-01-15 16:50:57,1,1.3,10.07,1.17,0.0,15.74,1
2025-01-15 07:53:52,2025-01-15 08:17:14,1,2.46,17.73,0.0,6.94,26.17,5
2025-01-15 17:22:41,2025-01-15 17:45:12,2,6.2,24.4,0.61,8.25,34.76,1
2025-01-15 22:33:56,2025-01-15 22:56:07,2,4.33,20.37,0.86,0.0,25.73,1
